intent,question,response
Greetings,Hello,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Hi,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Hey,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Good morning,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Good afternoon,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Good evening,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Hello chatbot,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Hi there,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Is anyone there?,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Can you help me?,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,"Hello, I need some help",Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Hey there,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Greetingss,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,"Hi, are you available?",Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Good day,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,"Hello, can we talk?",Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,"Hi, I have a question",Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Hey chatbot,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Hello there,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,"Hi, I want information",Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Good morning chatbot,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Good afternoon chatbot,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Good evening chatbot,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,Can you assist me?,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
Greetings,I would like some help,Hello! Welcome to MFANO BORA AFRICA LIMITED. What would you like to know or find today?
about_company,What is MFANO BORA AFRICA LIMITED?,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,Tell me about MFANO BORA AFRICA LIMITED,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,What does MFANO BORA AFRICA LIMITED do?,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,What is your company about?,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,Give me information about the company,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,Who are you?,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,What is this organization?,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,Tell me more about MFANO BORA AFRICA LIMITED,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,What services does the company provide?,MFANO BORA AFRICA LIMITED provides access to organized information and resources through its website.
about_company,Can you explain what MFANO BORA AFRICA LIMITED is?,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,What is MFANO BORA AFRICA?,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,Tell me about your organization,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,What kind of company is MFANO BORA AFRICA LIMITED?,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,I want to know about the company,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,Give me a brief description of the company,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
about_company,What is the purpose of this website?,"The website is designed to provide organized information and resources, including Attachment, Careers, Transport and ICT resources."
about_company,What is the company known for?,MFANO BORA AFRICA LIMITED is the organization behind this resource website. You can use the website to access and search its available information and resources.
